project_code	sample_id	ox_code	source_code	sra_accession	cross	Run	Instrument Model	Library Name	Run Read Count	Run Base Count
PFproj1	4883	PG0042-C	7C183	ERS009989	hb3_dd2	ERR015448	Illumina Genome Analyzer II	PG42-C-200 1 89066	19451382	2956610064
PFproj1	4885	PG0043-C	7C421	ERS009990	hb3_dd2	ERR015459	Illumina Genome Analyzer II	PG43-C-200 1 89065	26938658	4094676016
PFproj1	4886	PG0044-C	7C424	ERS010144	hb3_dd2	ERR019043	Illumina Genome Analyzer II	PG0044-C 138663	30075256	4571438912
PFproj1	4887	PG0045-C	QC23	ERS010544	hb3_dd2	ERR012892	Illumina Genome Analyzer II	PG0045_C_200 1	19652775	2987221800
PFproj1	4888	PG0046-C	7C46	ERS013415	hb3_dd2	ERR022939	Illumina Genome Analyzer II	PG0046-C 443797	28263073	4295987096
PFproj1	11736	PG0046-Cx	7C46	ERS074131	hb3_dd2	ERR107476	Illumina HiSeq 2000	4021943	7875308	1575061600
PFproj1	4889	PG0047-C	7C126	ERS010545	hb3_dd2	ERR012891	Illumina Genome Analyzer II	PG0047_C_200 1	3139067	477138184
PFproj1	4889	PG0047-C	7C126	ERS010545	hb3_dd2	ERR015452	Illumina Genome Analyzer II	PG0047_C_200 1	31260467	4751590984
PFproj1	4890	PG0048-C	7C7	ERS010138	hb3_dd2	ERR019049	Illumina Genome Analyzer II	PG0048-C 138652	24661508	3748549216
PFproj1	6469	PG0074-C	7C101	ERS010137	hb3_dd2	ERR019048	Illumina Genome Analyzer II	PG0074-C 138651	22748694	3457801488
PFproj2	4642	PG0051-C	3D7_Glasgow	ERS009999	3d7_hb3	ERR019061	Illumina Genome Analyzer II	PG051-C-200 89367	19372784	2944663168
PFproj2	4643	PG0052-C	HB3_Glasgow	ERS010000	3d7_hb3	ERR019054	Illumina Genome Analyzer II	PG052-C-200 89368	16414335	2494978920
PFproj2	4654	PG0053-C	XP3	ERS010012	3d7_hb3	ERR019067	Illumina Genome Analyzer II	PG53-C_200 113389	12185112	1852137024
PFproj2	4658	PG0054-C	XP4	ERS010004	3d7_hb3	ERR019062	Illumina Genome Analyzer II	PG054-C-200 89372	15521956	2359337312
PFproj2	4659	PG0055-C	XP5	ERS010011	3d7_hb3	ERR019066	Illumina Genome Analyzer II	PG055-C_200 89379	16350891	2485335432
PFproj2	4660	PG0056-C	XP8	ERS010013	3d7_hb3	ERR019068	Illumina Genome Analyzer II	PG56-C_200 113390	13963526	2122455952
PFproj2	4661	PG0057-C	XP9	ERS010014	3d7_hb3	ERR019069	Illumina Genome Analyzer II	PG57-C_200 113391	9324276	1417289952
PFproj2	4662	PG0058-C	XP24	ERS010005	3d7_hb3	ERR019063	Illumina Genome Analyzer II	PG058-C-200 89373	8226236	1250387872
PFproj2	4663	PG0059-C	XP25	ERS009719	3d7_hb3					
PFproj2	4664	PG0060-C	XP52	ERS010006	3d7_hb3	ERR019058	Illumina Genome Analyzer II	PG060-C-200 89374	16413305	2494822360
PFproj2	4644	PG0061-C	X2	ERS010007	3d7_hb3	ERR019059	Illumina Genome Analyzer II	PG061-C-200 89375	26407638	4013960976
PFproj2	4645	PG0062-C	X4	ERS010015	3d7_hb3	ERR019070	Illumina Genome Analyzer II	PG62-C_200 113393	18348018	2788898736
PFproj2	4646	PG0063-C	X5	ERS010008	3d7_hb3	ERR019060	Illumina Genome Analyzer II	PG063-C-200 89376	17421950	2648136400
PFproj2	4647	PG0064-C	X6	ERS010016	3d7_hb3	ERR019071	Illumina Genome Analyzer II	PG64-C_200 113394	8025849	1219929048
PFproj2	4648	PG0065-C	X10	ERS010009	3d7_hb3	ERR019064	Illumina Genome Analyzer II	PG065-C-200 89377	26009794	3953488688
PFproj2	4649	PG0066-C	X11	ERS010017	3d7_hb3	ERR019072	Illumina Genome Analyzer II	PG66-C_200 113395	13171442	2002059184
PFproj2	4650	PG0067-C	X12	ERS010018	3d7_hb3	ERR019073	Illumina Genome Analyzer II	PG67-C_200 113396	20862274	3171065648
PFproj2	4651	PG0068-C	X30	ERS010010	3d7_hb3	ERR019065	Illumina Genome Analyzer II	PG068-C-200 89378	6563653	997675256
PFproj2	4652	PG0069-C	X33	ERS010001	3d7_hb3	ERR019055	Illumina Genome Analyzer II	PG069-C-200 89369	21797779	3313262408
PFproj2	4653	PG0070-C	X35	ERS010002	3d7_hb3	ERR019056	Illumina Genome Analyzer II	PG070-C-200 89370	23027954	3500249008
PFproj2	4655	PG0071-C	X39	ERS010019	3d7_hb3	ERR019074	Illumina Genome Analyzer II	PG71-C_200 113397	20206948	3071456096
PFproj2	4656	PG0072-C	X44	ERS010003	3d7_hb3	ERR019057	Illumina Genome Analyzer II	PG072-C-200 89371	27803347	4226108744
PFproj2	4657	PG0073-C	X50	ERS010020	3d7_hb3	ERR019075	Illumina Genome Analyzer II	PG73-C_200 113398	9965413	1514742776
PFproj3	7889	PG0077-C	JC3	ERS016324	7g8_gb4	ERR027112	Illumina Genome Analyzer II	PG0077-C 1361754	27671336	4206043072
PFproj3	9400	PG0077-CW	JC3	ERS035291	7g8_gb4	ERR045636	Illumina HiSeq 2000	2735123	15768458	2365268700
PFproj3	7890	PG0078-C	QF5	ERS016325	7g8_gb4	ERR029092	Illumina Genome Analyzer II	PG0078-C 1375616	23859076	3626579552
PFproj3	9402	PG0078-CW	QF5	ERS035293	7g8_gb4	ERR045638	Illumina HiSeq 2000	2735125	13504442	2025666300
PFproj3	7891	PG0079-C	JF6	ERS016326	7g8_gb4	ERR027102	Illumina Genome Analyzer II	PG0079-C 1361756	29670560	4509925120
PFproj3	9401	PG0079-CW	JF6	ERS035292	7g8_gb4	ERR045637	Illumina HiSeq 2000	2735124	15540616	2331092400
PFproj3	7892	PG0080-C	TF1	ERS016327	7g8_gb4	ERR027103	Illumina Genome Analyzer II	PG0080-C 1361757	12134419	1844431688
PFproj3	7893	PG0081-C	DEV	ERS016328	7g8_gb4	ERR027104	Illumina Genome Analyzer II	PG0081-C 1361758	11771388	1789250976
PFproj3	9430	PG0081-CW	DEV_18_05_11	ERS035514	7g8_gb4	ERR045633	Illumina HiSeq 2000	2735075	14649909	2197486350
PFproj3	7894	PG0082-C	WC4	ERS016329	7g8_gb4	ERR029093	Illumina Genome Analyzer II	PG0082-C 1375617	12751131	1938171912
PFproj3	7877	PG0083-C	7G8_NIH	ERS016318	7g8_gb4	ERR027099	Illumina Genome Analyzer II	PG0083--C 1361748	14577812	2215827424
PFproj3	7878	PG0084-C	GB4_NIH	ERS016319	7g8_gb4	ERR027100	Illumina Genome Analyzer II	PG0084-C 1361749	17511851	2661801352
PFproj3	7879	PG0085-C	WE2	ERS016320	7g8_gb4	ERR027101	Illumina Genome Analyzer II	PG0085-C 1361750	21480480	3265032960
PFproj3	7880	PG0086-C	LA10	ERS016321	7g8_gb4	ERR029090	Illumina Genome Analyzer II	PG0086-C 1375614	19467950	2959128400
PFproj3	9426	PG0086-CW	LA10_13_05_11	ERS035475	7g8_gb4	ERR045629	Illumina HiSeq 2000	2735071	10905660	1635849000
PFproj3	7881	PG0087-C	JB8	ERS016322	7g8_gb4	ERR029091	Illumina Genome Analyzer II	PG0087-C 1375615	16751120	2546170240
PFproj3	7882	PG0088-C	KH7	ERS016323	7g8_gb4	ERR027111	Illumina Genome Analyzer II	PG0088-C 1361753	15825010	2405401520
PFproj3	7907	PG0090-C	KC2	ERS016689	7g8_gb4	ERR027116	Illumina Genome Analyzer II	PG0090-C 1375567	20563889	3125711128
PFproj3	9404	PG0090-CW	KC2_5_5_11	ERS035299	7g8_gb4	ERR045640	Illumina HiSeq 2000	2735127	10985950	1647892500
PFproj3	7908	PG0091-C	KA6	ERS016690	7g8_gb4	ERR027117	Illumina Genome Analyzer II	PG0091-C 1375568	13598392	2066955584
PFproj3	7909	PG0092-C	NH11	ERS016691	7g8_gb4	ERR027105	Illumina Genome Analyzer II	PG0092-C 1375569	13124366	1994903632
PFproj3	7910	PG0093-C	XB3	ERS016692	7g8_gb4	ERR029105	Illumina Genome Analyzer II	PG0093-C 1375737	35340883	5371814216
PFproj3	7911	PG0094-C	D2	ERS016693	7g8_gb4	ERR027106	Illumina Genome Analyzer II	PG0094-C 1375571	14020727	2131150504
PFproj3	9429	PG0094-CW	D2_18_05_11	ERS035504	7g8_gb4	ERR045632	Illumina HiSeq 2000	2735074	25333186	3799977900
PFproj3	7912	PG0095-C	NIC	ERS016694	7g8_gb4	ERR027107	Illumina Genome Analyzer II	PG0095-C 1375572	11465600	1742771200
PFproj3	9428	PG0095-CW	NIC_18_05_11	ERS035495	7g8_gb4	ERR045631	Illumina HiSeq 2000	2735073	13152821	1972923150
PFproj3	7913	PG0096-C	NF10	ERS016695	7g8_gb4	ERR027108	Illumina Genome Analyzer II	PG0096-C 1375573	12428858	1889186416
PFproj3	7914	PG0097-C	WF12	ERS016696	7g8_gb4	ERR027109	Illumina Genome Analyzer II	PG0097-C 1375574	18037923	2741764296
PFproj3	7915	PG0098-C	DAN	ERS016697	7g8_gb4	ERR027110	Illumina Genome Analyzer II	PG0098-C 1375575	23120028	3514244256
PFproj3	7945	PG0099-C	JB12	ERS016784	7g8_gb4	ERR029146	Illumina Genome Analyzer II	PG0099--C 1399442	19858507	3018493064
PFproj3	7946	PG0100-C	JE11	ERS016785	7g8_gb4	ERR029404	Illumina Genome Analyzer II	PG0100-C 1399443	22407082	3405876464
PFproj3	9427	PG0100-CW	JE11_18-05_11	ERS035485	7g8_gb4	ERR045630	Illumina HiSeq 2000	2735072	9082756	1362413400
PFproj3	7947	PG0101-C	KC5	ERS016786	7g8_gb4	ERR029147	Illumina Genome Analyzer II	PG0101-C 1399444	15817009	2404185368
PFproj3	7948	PG0102-C	XF12	ERS016787	7g8_gb4	ERR029143	Illumina Genome Analyzer II	PG0102-C 1399445	22988529	3494256408
PFproj3	9432	PG0102-CW	XF12_18_05_11	ERS035537	7g8_gb4	ERR045635	Illumina HiSeq 2000	2735077	15828845	2374326750
PFproj3	7949	PG0103-C	AL2	ERS016788	7g8_gb4					
PFproj3	9424	PG0103-CW	AL2_13_05_11	ERS035455	7g8_gb4	ERR045627	Illumina HiSeq 2000	2735069	20911727	3136759050
PFproj3	7950	PG0104-C	KB8	ERS016789	7g8_gb4	ERR029148	Illumina Genome Analyzer II	PG0104-C 1399447	19049292	2895492384
PFproj3	9406	PG0104-CW	KB8_5_5_11	ERS035323	7g8_gb4	ERR045642	Illumina HiSeq 2000	2735129	13319411	1997911650
PFproj3	7951	PG0105-C	XD8	ERS016790	7g8_gb4	ERR029144	Illumina Genome Analyzer II	PG0105-C 1399448	19983456	3037485312
PFproj3	9425	PG0105-CW	XD8_13_05_11	ERS035465	7g8_gb4	ERR045628	Illumina HiSeq 2000	2735070	20011618	3001742700
PFproj3	7952	PG0106-C	XE7	ERS016791	7g8_gb4	ERR029407	Illumina Genome Analyzer II	PG0106-C 1399449	41547346	6315196592
PFproj3	7953	PG0107-C	JON	ERS016792	7g8_gb4	ERR029408	Illumina Genome Analyzer II	PG0107-C 1399450	29930708	4549467616
PFproj3	7954	PG0108-C	XE8	ERS016793	7g8_gb4	ERR029145	Illumina Genome Analyzer II	PG0108-C 1399451	28781624	4374806848
PFproj3	7955	PG0109-C	XG10	ERS016794	7g8_gb4	ERR029405	Illumina Genome Analyzer II	PG0109-C 1413751	10174810	1546571120
PFproj3	7956	PG0110-C	LC12	ERS016795	7g8_gb4	ERR171454	Illumina Genome Analyzer II	1413752	23729345	3606860440
PFproj3	9405	PG0110-CW	LC12_5_5_11	ERS035311	7g8_gb4	ERR045641	Illumina HiSeq 2000	2735128	12581865	1887279750
PFproj3	7957	PG0111-C	JC9	ERS016796	7g8_gb4	ERR029409	Illumina Genome Analyzer II	PG0111-C 1413753	20311874	3087404848
PFproj3	9431	PG0111-CW	JC9_18_05_11	ERS035528	7g8_gb4	ERR045634	Illumina HiSeq 2000	2735076	19748516	2962277400
PFproj3	7958	PG0112-C	AUD	ERS016797	7g8_gb4	ERR029406	Illumina Genome Analyzer II	PG0112-C 1413754	21456241	3261348632
PFproj3	9403	PG0112-CW	AUD_5_5_11	ERS035294	7g8_gb4	ERR045639	Illumina HiSeq 2000	2735126	14324763	2148714450
PFproj3	7959	PG0113-C	JH6	ERS016798	7g8_gb4	ERR029410	Illumina Genome Analyzer II	PG0113-C 1413755	12116143	1841653736
PFproj3	9423	PG0113-CW	JH6_12_05_11	ERS035445	7g8_gb4	ERR045626	Illumina HiSeq 2000	2735068	21694583	3254187450
PFproj3	9407	PG0114-C	FCR-1/FVO	ERS035336		ERR045643	Illumina HiSeq 2000	2735130	14132199	2119829850
PFproj3	9408	PG0115-C	St.Lucia	ERS035347		ERR045644	Illumina HiSeq 2000	2735131	13901669	2085250350
PFproj3	9409	PG0116-C	FCR-3	ERS035359		ERR045645	Illumina HiSeq 2000	2735132	15723184	2358477600
PFproj3	9410	PG0117-C	T9/96	ERS035368		ERR045646	Illumina HiSeq 2000	2735133	17478689	2621803350
PFproj3	9411	PG0118-C	W2mef	ERS035377		ERR045647	Illumina HiSeq 2000	2735134	16792819	2518922850
PFproj3	9412	PG0119-C	Malayan_camp	ERS035428		ERR045625	Illumina HiSeq 2000	2735067	13042491	1956373650
